id,code_prefix_start,code_prefix_end,name,parent_id
3830,1,1,Activos,False
5008,100.01,100.01,Activo a corto plazo,False
3831,100.01,100.01,Activo a corto plazo,"[3830, '1 Activos']"
3832,100.02,100.02,Activo a largo plazo,"[3830, '1 Activos']"
5009,1001.01,1001.01,Caja Transformacion,False
5109,1001.02,1001.02,CAJA CHICA JAVIER,False
5010,1002.02,1002.02,Caja Extraccion,False
5011,1005.01,1005.01,Clientes Nacionales Transformacion,False
5012,1005.03,1005.03,Clientes Nacionales Extraccion,False
5013,1005.04,1005.04,Clientes Exportación Extraccion,False
5014,1006,1006,Estimación cuentas incobrables,False
5015,1007.01,1007.01,Deudores diversos Transformación,False
5016,1007.02,1007.02,Deudores diversos Extraccion,False
5017,1009.01,1009.01,Inventarios Transformación TMM,False
5018,1009.02,1009.02,Inventarios Transformación CMP,False
5019,1009.03,1009.03,Inventarios Extracción,False
5020,1009.04,1009.04,Inventarios Comercialización,False
5021,1009.05,1009.05,Inventarios Transformación Xalapa,False
3833,101,101,Caja,"[3830, '1 Activos']"
3834,101.01,101.01,Caja y efectivo,"[3833, '101 Caja']"
5022,1012.01,1012.01,Anticipo proveedores Transformación Nacional,False
5023,1012.02,1012.02,Anticipo proveedores Transformación Extranjeros,False
5024,1012.03,1012.03,Anticipo proveedores Extracción Nacional,False
5025,1012.04,1012.04,Anticipo proveedores Extracción Extranjeros,False
5026,1012.05,1012.05,Anticipo Activo fijo,False
5027,1013.01,1013.01,Almacen compras Transformación,False
3835,102,102,Banco,"[3830, '1 Activos']"
3836,102.01,102.01,Bancos nacionales,"[3835, '102 Banco']"
3837,102.02,102.02,Bancos extranjeros,"[3835, '102 Banco']"
3838,103,103,Inversiones,"[3830, '1 Activos']"
3839,103.01,103.01,Inversiones temporales,"[3838, '103 Inversiones']"
3840,103.02,103.02,Inversiones en fideicomisos,"[3838, '103 Inversiones']"
3841,103.03,103.03,Otras inversiones,"[3838, '103 Inversiones']"
3842,104,104,Otros instrumentos financieros,"[3830, '1 Activos']"
3843,104.01,104.01,Otros instrumentos financieros,"[3842, '104 Otros instrumentos financieros']"
3844,105,105,Clientes,"[3830, '1 Activos']"
3845,105.01,105.01,Clientes nacionales,"[3844, '105 Clientes']"
3846,105.02,105.02,Clientes extranjeros,"[3844, '105 Clientes']"
3847,105.03,105.03,Clientes nacionales parte relacionada,"[3844, '105 Clientes']"
3848,105.04,105.04,Clientes extranjeros parte relacionada,"[3844, '105 Clientes']"
3849,106,106,Cuentas y documentos por cobrar a corto plazo,"[3830, '1 Activos']"
3850,106.01,106.01,Cuentas y documentos por cobrar a corto plazo nacional,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3851,106.02,106.02,Cuentas y documentos por cobrar a corto plazo extranjero,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3852,106.03,106.03,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3853,106.04,106.04,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3854,106.05,106.05,Intereses por cobrar a corto plazo nacional,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3855,106.06,106.06,Intereses por cobrar a corto plazo extranjero,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3856,106.07,106.07,Intereses por cobrar a corto plazo nacional parte relacionada,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3857,106.08,106.08,Intereses por cobrar a corto plazo extranjero parte relacionada,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3858,106.09,106.09,Otras cuentas y documentos por cobrar a corto plazo,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3859,106.10,106.10,Otras cuentas y documentos por cobrar a corto plazo parte relacionada,"[3849, '106 Cuentas y documentos por cobrar a corto plazo']"
3860,107,107,Deudores diversos,"[3830, '1 Activos']"
3861,107.01,107.01,Funcionarios y empleados,"[3860, '107 Deudores diversos']"
3862,107.02,107.02,Socios y accionistas,"[3860, '107 Deudores diversos']"
3863,107.03,107.03,Partes relacionadas nacionales,"[3860, '107 Deudores diversos']"
3864,107.04,107.04,Partes relacionadas extranjeros,"[3860, '107 Deudores diversos']"
3865,107.05,107.05,Otros deudores diversos,"[3860, '107 Deudores diversos']"
3866,108,108,Estimación de cuentas incobrables,"[3830, '1 Activos']"
3867,108.01,108.01,Estimación de cuentas incobrables nacional,"[3866, '108 Estimación de cuentas incobrables']"
3868,108.02,108.02,Estimación de cuentas incobrables extranjero,"[3866, '108 Estimación de cuentas incobrables']"
3869,108.03,108.03,Estimación de cuentas incobrables nacional parte relacionada,"[3866, '108 Estimación de cuentas incobrables']"
3870,108.04,108.04,Estimación de cuentas incobrables extranjero parte relacionada,"[3866, '108 Estimación de cuentas incobrables']"
3871,109,109,Pagos anticipados,"[3830, '1 Activos']"
3872,109.01,109.01,Seguros y fianzas pagados por anticipado nacional,"[3871, '109 Pagos anticipados']"
3873,109.02,109.02,Seguros y fianzas pagados por anticipado extranjero,"[3871, '109 Pagos anticipados']"
3874,109.03,109.03,Seguros y fianzas pagados por anticipado nacional parte relacionada,"[3871, '109 Pagos anticipados']"
3875,109.04,109.04,Seguros y fianzas pagados por anticipado extranjero parte relacionada,"[3871, '109 Pagos anticipados']"
3876,109.05,109.05,Rentas pagados por anticipado nacional,"[3871, '109 Pagos anticipados']"
3877,109.06,109.06,Rentas pagados por anticipado extranjero,"[3871, '109 Pagos anticipados']"
3878,109.07,109.07,Rentas pagados por anticipado nacional parte relacionada,"[3871, '109 Pagos anticipados']"
3879,109.08,109.08,Rentas pagados por anticipado extranjero parte relacionada,"[3871, '109 Pagos anticipados']"
3880,109.09,109.09,Intereses pagados por anticipado nacional,"[3871, '109 Pagos anticipados']"
3881,109.10,109.10,Intereses pagados por anticipado extranjero,"[3871, '109 Pagos anticipados']"
3882,109.11,109.11,Intereses pagados por anticipado nacional parte relacionada,"[3871, '109 Pagos anticipados']"
3883,109.12,109.12,Intereses pagados por anticipado extranjero parte relacionada,"[3871, '109 Pagos anticipados']"
3884,109.13,109.13,Factoraje financiero pagados por anticipado nacional,"[3871, '109 Pagos anticipados']"
3885,109.14,109.14,Factoraje financiero pagados por anticipado extranjero,"[3871, '109 Pagos anticipados']"
3886,109.15,109.15,Factoraje financiero pagados por anticipado nacional parte relacionada,"[3871, '109 Pagos anticipados']"
3887,109.16,109.16,Factoraje financiero pagados por anticipado extranjero parte relacionada,"[3871, '109 Pagos anticipados']"
3888,109.17,109.17,Arrendamiento financiero pagados por anticipado nacional,"[3871, '109 Pagos anticipados']"
3889,109.18,109.18,Arrendamiento financiero pagados por anticipado extranjero,"[3871, '109 Pagos anticipados']"
3890,109.19,109.19,Arrendamiento financiero pagados por anticipado nacional parte relacionada,"[3871, '109 Pagos anticipados']"
3891,109.20,109.20,Arrendamiento financiero pagados por anticipado extranjero parte relacionada,"[3871, '109 Pagos anticipados']"
3892,109.21,109.21,Pérdida por deterioro de pagos anticipados,"[3871, '109 Pagos anticipados']"
3893,109.22,109.22,Derechos fiduciarios,"[3871, '109 Pagos anticipados']"
3894,109.23,109.23,Otros pagos anticipados,"[3871, '109 Pagos anticipados']"
3895,110,110,Subsidio al empleo por aplicar,"[3830, '1 Activos']"
3896,110.01,110.01,Subsidio al empleo por aplicar,"[3895, '110 Subsidio al empleo por aplicar']"
3897,111,111,Crédito al diesel por acreditar,"[3830, '1 Activos']"
3898,111.01,111.01,Crédito al diesel por acreditar,"[3897, '111 Crédito al diesel por acreditar']"
3899,112,112,Otros estímulos,"[3830, '1 Activos']"
3900,112.01,112.01,Otros estímulos,"[3899, '112 Otros estímulos']"
3901,113,113,Impuestos a favor,"[3830, '1 Activos']"
3902,113.01,113.01,IVA a favor,"[3901, '113 Impuestos a favor']"
3903,113.02,113.02,ISR a favor,"[3901, '113 Impuestos a favor']"
3904,113.03,113.03,IETU a favor,"[3901, '113 Impuestos a favor']"
3905,113.04,113.04,IDE a favor,"[3901, '113 Impuestos a favor']"
3906,113.05,113.05,IA a favor,"[3901, '113 Impuestos a favor']"
3907,113.06,113.06,Subsidio al empleo,"[3901, '113 Impuestos a favor']"
3908,113.07,113.07,Pago de lo indebido,"[3901, '113 Impuestos a favor']"
3909,113.08,113.08,Otros impuestos a favor,"[3901, '113 Impuestos a favor']"
