id,name,code,type,currency_id,company_id
28,Sales,INV,sale,False,"[2, 'Petravia (FISCAL)']"
9,Sales,INV,sale,False,"[1, 'Petravia']"
29,Purchases,FACTU,purchase,False,"[2, 'Petravia (FISCAL)']"
10,Purchases,FACTU,purchase,False,"[1, 'Petravia']"
14,BBVA CTA.7934 MX,BNK1,bank,False,"[1, 'Petravia']"
11,Miscellaneous Operations,MISCE,general,False,"[1, 'Petravia']"
30,Miscellaneous Operations,MISCE,general,False,"[2, 'Petravia (FISCAL)']"
80,BBVA CTA.7934 MX,BNK1,bank,False,"[2, 'Petravia (FISCAL)']"
89,MONEX CTA.4922 EUROS,BNK10,bank,False,"[2, 'Petravia (FISCAL)']"
27,MONEX CTA.4922 EUROS,BNK10,bank,False,"[1, 'Petravia']"
90,American LD,BNK11,bank,False,"[1, 'Petravia']"
19,BBVA CTA.3701 MX,BNK2,bank,False,"[1, 'Petravia']"
81,BBVA CTA.3701 MX,BNK2,bank,False,"[2, 'Petravia (FISCAL)']"
82,BBVA CTA.78676 MX,BNK3,bank,False,"[2, 'Petravia (FISCAL)']"
20,BBVA CTA.78676 MX,BNK3,bank,False,"[1, 'Petravia']"
21,MONEX CTA.4922 MX,BNK4,bank,False,"[1, 'Petravia']"
83,MONEX CTA.4922 MX,BNK4,bank,False,"[2, 'Petravia (FISCAL)']"
22,BANREGIO CTA.1725 MX,BNK5,bank,False,"[1, 'Petravia']"
84,BANREGIO CTA.1725 MX,BNK5,bank,False,"[2, 'Petravia (FISCAL)']"
23,BBVA CTA.7713 USD,BNK6,bank,"[1, 'USD']","[1, 'Petravia']"
85,BBVA CTA.7713 USD,BNK6,bank,False,"[2, 'Petravia (FISCAL)']"
86,MONEX CTA.4922 USD,BNK7,bank,False,"[2, 'Petravia (FISCAL)']"
24,MONEX CTA.4922 USD,BNK7,bank,"[1, 'USD']","[1, 'Petravia']"
25,SABADELL CTA.3001 USD,BNK8,bank,"[1, 'USD']","[1, 'Petravia']"
87,SABADELL CTA.3001 USD,BNK8,bank,False,"[2, 'Petravia (FISCAL)']"
26,BANREGIO CTA.1730 USD,BNK9,bank,"[1, 'USD']","[1, 'Petravia']"
88,BANREGIO CTA.1730 USD,BNK9,bank,False,"[2, 'Petravia (FISCAL)']"
17,Cash,CSH1,cash,False,"[1, 'Petravia']"
36,CAJA CHICA,CSH1,cash,False,"[2, 'Petravia (FISCAL)']"
13,Cash Basis Taxes,CABA,general,False,"[1, 'Petravia']"
32,Cash Basis Taxes,CABA,general,False,"[2, 'Petravia (FISCAL)']"
31,Exchange Difference,CAMBI,general,False,"[2, 'Petravia (FISCAL)']"
12,Exchange Difference,CAMBI,general,False,"[1, 'Petravia']"
16,Effectively Paid,CBMX,general,False,"[1, 'Petravia']"
35,Effectively Paid,CBMX,general,False,"[2, 'Petravia (FISCAL)']"
15,Inventory Valuation,STJ,general,False,"[1, 'Petravia']"
34,Inventory Valuation,STJ,general,False,"[2, 'Petravia (FISCAL)']"
37,Tax Returns,TAX,general,"[33, 'MXN']","[2, 'Petravia (FISCAL)']"
18,Tax Returns,TAX,general,"[33, 'MXN']","[1, 'Petravia']"
91,GASTOS,BILL1,purchase,False,"[1, 'Petravia']"
38,ANTICIPOS,ANT,sale,False,"[1, 'Petravia']"
