id,name,ref,date,journal_id,partner_id,move_type,state,amount_total,amount_untaxed,currency_id,l10n_mx_edi_cfdi_uuid
335,False,False,2026-07-02,"[9, 'Sales']",False,out_invoice,draft,0.0,0.0,"[1, 'USD']",False
321,False,False,2026-07-02,"[11, 'Miscellaneous Operations']",False,entry,draft,0.0,0.0,"[33, 'MXN']",False
318,False,False,2026-07-02,"[9, 'Sales']","[982, 'ARCA WORLD WIDE INC.']",out_invoice,draft,0.0,0.0,"[33, 'MXN']",False
330,PBNK1/2026/00035,GASTO PRUEBA,2026-07-02,"[14, 'BBVA CTA.7934 MX']",False,entry,posted,1035.71,0.0,"[33, 'MXN']",False
325,INV/2026/00040,False,2026-07-02,"[9, 'Sales']","[46, 'Carlos Solana']",out_invoice,posted,1.16,1.0,"[33, 'MXN']",F55D734F-12A5-44F0-98F3-37376C9DA296
323,COSTO DE MEXICO1,False,2026-07-02,"[11, 'Miscellaneous Operations']",False,entry,posted,1000.0,0.0,"[33, 'MXN']",False
331,CBMX/2026/07/0004,Reversión de: CBMX/2026/07/0001,2026-07-02,"[16, 'Effectively Paid']",False,entry,posted,17876.72,0.0,"[33, 'MXN']",False
319,CBMX/2026/07/0003,Reversión de: CBMX/2026/07/0002,2026-07-02,"[16, 'Effectively Paid']",False,entry,posted,25000.0,0.0,"[33, 'MXN']",False
320,CAMBI/2026/07/0002,Reversión de: CAMBI/2026/07/0001,2026-07-02,"[12, 'Exchange Difference']",False,entry,posted,0.0,0.0,"[33, 'MXN']",False
324,ANT/2026/00003,False,2026-07-02,"[38, 'ANTICIPOS']","[982, 'ARCA WORLD WIDE INC.']",out_invoice,posted,25000.0,25000.0,"[1, 'USD']",False
311,False,False,2026-07-01,"[11, 'Miscellaneous Operations']",False,entry,draft,0.0,0.0,"[33, 'MXN']",False
310,False,False,2026-07-01,"[11, 'Miscellaneous Operations']",False,entry,draft,0.0,0.0,"[33, 'MXN']",False
309,False,False,2026-07-01,"[11, 'Miscellaneous Operations']",False,entry,draft,0.0,0.0,"[33, 'MXN']",False
308,False,False,2026-07-01,"[11, 'Miscellaneous Operations']",False,entry,draft,0.0,0.0,"[33, 'MXN']",False
307,False,False,2026-07-01,"[10, 'Purchases']","[5922, 'Julia Rivera Gutierrez']",in_invoice,draft,0.0,0.0,"[33, 'MXN']",False
334,PBNK1/2026/00037,GASTO DE MTTO,2026-07-01,"[14, 'BBVA CTA.7934 MX']","[99, 'Brenda Jaqueline Blanco Vasquez']",entry,posted,5063.29,0.0,"[1, 'USD']",False
333,PBNK1/2026/00036,GASTO DE MTTO,2026-07-01,"[14, 'BBVA CTA.7934 MX']","[99, 'Brenda Jaqueline Blanco Vasquez']",entry,posted,18103.01,0.0,"[33, 'MXN']",False
305,PBNK1/2026/00034,Gasto de mantenimiento,2026-07-01,"[14, 'BBVA CTA.7934 MX']","[60, 'Cristhian Daniel Vasquez Gutierrez']",entry,posted,25000.0,0.0,"[33, 'MXN']",False
302,PBNK1/2026/00033,GASTO DE MTTO,2026-07-01,"[14, 'BBVA CTA.7934 MX']","[60, 'Cristhian Daniel Vasquez Gutierrez']",entry,posted,17876.72,0.0,"[33, 'MXN']",False
317,INV/2026/00039,S00050,2026-07-01,"[9, 'Sales']","[982, 'ARCA WORLD WIDE INC.']",out_invoice,draft,1810.35,1810.35,"[1, 'USD']",False
304,FACTU/2026/07/0007,Gasto de mantenimiento,2026-07-01,"[10, 'Purchases']","[60, 'Cristhian Daniel Vasquez Gutierrez']",in_receipt,posted,25000.0,25000.0,"[33, 'MXN']",False
